GBAC,1A,1A-strand,1B,1B-strand,2,2-strand
MG970043,NA-NA,NA,NA-NA,NA,0-536,1
MG970042,NA-NA,NA,NA-NA,NA,2-533,1
MG970041,NA-NA,NA,NA-NA,NA,1-489,1
MG970040,NA-NA,NA,NA-NA,NA,0-538,1
MG970039,NA-NA,NA,NA-NA,NA,1-527,1
MG970038,NA-NA,NA,NA-NA,NA,1-528,1
MG970037,NA-NA,NA,NA-NA,NA,1-528,1
MG970036,NA-NA,NA,NA-NA,NA,2-520,1
MG970035,NA-NA,NA,NA-NA,NA,1-528,1
MG970034,NA-NA,NA,NA-NA,NA,2-519,1
MG970033,NA-NA,NA,NA-NA,NA,1-539,1
MG970032,NA-NA,NA,NA-NA,NA,2-520,1
MG970031,NA-NA,NA,NA-NA,NA,2-530,1
MG970030,NA-NA,NA,NA-NA,NA,1-539,1
MG970029,NA-NA,NA,NA-NA,NA,2-531,1
MG970028,NA-NA,NA,NA-NA,NA,2-523,1
MG970027,NA-NA,NA,NA-NA,NA,1-537,1
MG970026,NA-NA,NA,NA-NA,NA,1-530,1
MG970025,NA-NA,NA,NA-NA,NA,2-533,1
MG970024,NA-NA,NA,NA-NA,NA,2-522,1
MG970023,NA-NA,NA,NA-NA,NA,1-529,1
MG970022,NA-NA,NA,NA-NA,NA,2-513,1
MG970021,NA-NA,NA,NA-NA,NA,1-527,1
MG970020,NA-NA,NA,NA-NA,NA,2-545,1
MG970019,NA-NA,NA,NA-NA,NA,2-545,1
MG970018,NA-NA,NA,NA-NA,NA,0-549,1
MG970017,NA-NA,NA,NA-NA,NA,2-542,1
MG970016,NA-NA,NA,NA-NA,NA,1-558,1
MG970015,NA-NA,NA,NA-NA,NA,2-556,1
MG970014,NA-NA,NA,NA-NA,NA,1-529,1
MG970013,NA-NA,NA,NA-NA,NA,2-547,1
MG970012,NA-NA,NA,NA-NA,NA,1-486,1
MG970011,NA-NA,NA,NA-NA,NA,1-547,1
MG970010,NA-NA,NA,NA-NA,NA,1-545,1
MG970009,NA-NA,NA,NA-NA,NA,1-550,1
MG970008,NA-NA,NA,NA-NA,NA,2-557,1
MG970007,NA-NA,NA,NA-NA,NA,0-551,1
MG970006,NA-NA,NA,NA-NA,NA,2-551,1
MG970005,NA-NA,NA,NA-NA,NA,1-541,1
MG970004,NA-NA,NA,NA-NA,NA,1-545,1
MG970003,NA-NA,NA,NA-NA,NA,1-562,1
MG970002,NA-NA,NA,NA-NA,NA,1-550,1
MG970001,NA-NA,NA,NA-NA,NA,0-534,1
MN503238,2-2099,1,2053-3598,1,3554-6029,1
MN503237,20-2231,1,2185-3730,1,3686-6137,1
MN503236,20-2231,1,2185-3730,1,3686-6161,1
MN503235,2-2099,1,2053-3598,1,3554-6029,1
MK995021,NA-NA,NA,NA-NA,NA,1-354,1
MK995020,NA-NA,NA,NA-NA,NA,1-354,1
MK995019,NA-NA,NA,NA-NA,NA,1-354,1
MK995018,NA-NA,NA,NA-NA,NA,1-354,1
MK995017,NA-NA,NA,NA-NA,NA,0-353,1
MK995016,NA-NA,NA,NA-NA,NA,1-354,1
MK995015,NA-NA,NA,NA-NA,NA,1-354,1
MK995014,NA-NA,NA,NA-NA,NA,1-354,1
MK995013,NA-NA,NA,NA-NA,NA,1-354,1
MK995012,NA-NA,NA,NA-NA,NA,1-354,1
MK995011,NA-NA,NA,NA-NA,NA,1-354,1
MK995010,NA-NA,NA,NA-NA,NA,1-354,1
MK995009,NA-NA,NA,NA-NA,NA,1-354,1
MK995008,NA-NA,NA,NA-NA,NA,1-354,1
MK995007,NA-NA,NA,NA-NA,NA,1-360,1
MK995006,NA-NA,NA,NA-NA,NA,1-360,1
MK995005,NA-NA,NA,NA-NA,NA,1-360,1
MG003352,NA-NA,NA,2-299,1,291-799,1
MG003351,NA-NA,NA,2-299,1,291-799,1
MG003350,NA-NA,NA,2-299,1,291-796,1
MG003349,NA-NA,NA,2-284,1,276-716,1
MG003348,NA-NA,NA,2-299,1,291-799,1
MG003347,NA-NA,NA,2-299,1,291-799,1
MG003346,NA-NA,NA,2-299,1,291-799,1
MG003345,NA-NA,NA,2-299,1,291-799,1
MG003344,NA-NA,NA,2-299,1,291-799,1
MG003343,NA-NA,NA,2-299,1,291-799,1
MG003342,NA-NA,NA,2-299,1,291-799,1
MK608711,NA-NA,NA,NA-NA,NA,1-448,1
MK608710,NA-NA,NA,NA-NA,NA,0-408,1
MK608709,NA-NA,NA,NA-NA,NA,0-411,1
MK608708,NA-NA,NA,NA-NA,NA,0-408,1
MK671313,30-2775,1,2717-4262,1,4254-6699,1
MK671312,30-2775,1,2717-4262,1,4254-6699,1
MK671311,30-2775,1,2717-4262,1,4254-6699,1
MK671310,30-2775,1,2717-4262,1,4254-6705,1
MK671309,30-2775,1,2717-4262,1,4254-6705,1
MK671308,30-2775,1,2717-4262,1,4254-6705,1
MK671307,30-2775,1,2717-4262,1,4254-6705,1
MK671306,30-2775,1,2717-4262,1,4254-6699,1
MK671281,NA-NA,NA,NA-NA,NA,0-2445,1
MK671280,NA-NA,NA,NA-NA,NA,0-2445,1
MK671279,NA-NA,NA,NA-NA,NA,0-2454,1
MK671278,NA-NA,NA,NA-NA,NA,0-2451,1
MK671277,NA-NA,NA,NA-NA,NA,0-2445,1
MK671276,NA-NA,NA,NA-NA,NA,0-2445,1
MK671275,NA-NA,NA,NA-NA,NA,0-2445,1
MK671274,NA-NA,NA,NA-NA,NA,0-2451,1
MK671273,NA-NA,NA,NA-NA,NA,0-2445,1
MK671272,NA-NA,NA,NA-NA,NA,0-2445,1
MK671271,NA-NA,NA,NA-NA,NA,0-2451,1
MK671270,NA-NA,NA,NA-NA,NA,0-2454,1
MK671269,NA-NA,NA,NA-NA,NA,0-2451,1
MK671268,NA-NA,NA,NA-NA,NA,0-2454,1
MK671267,NA-NA,NA,NA-NA,NA,0-2451,1
MK671266,NA-NA,NA,NA-NA,NA,0-2451,1
MK671265,NA-NA,NA,NA-NA,NA,0-2451,1
MK671264,NA-NA,NA,NA-NA,NA,0-2445,1
MK671263,NA-NA,NA,NA-NA,NA,0-2445,1
MK671262,NA-NA,NA,NA-NA,NA,0-2445,1
MK671261,NA-NA,NA,NA-NA,NA,0-2451,1
MK671260,NA-NA,NA,NA-NA,NA,0-2451,1
MK613068,103-2653,1,2585-4098,1,4090-6652,1
MK558042,NA-NA,NA,0-238,1,NA-NA,NA
MK580006,NA-NA,NA,NA-NA,NA,0-378,1
MK580005,NA-NA,NA,NA-NA,NA,0-384,1
MK580004,NA-NA,NA,NA-NA,NA,0-384,1
MK580003,NA-NA,NA,NA-NA,NA,0-384,1
MK580002,NA-NA,NA,NA-NA,NA,0-381,1
MK580001,NA-NA,NA,NA-NA,NA,0-387,1
MK580000,NA-NA,NA,NA-NA,NA,0-381,1
MK579999,NA-NA,NA,NA-NA,NA,0-381,1
MK579998,NA-NA,NA,NA-NA,NA,0-387,1
MK579997,NA-NA,NA,NA-NA,NA,0-375,1
MK579996,NA-NA,NA,NA-NA,NA,0-372,1
MK579995,NA-NA,NA,NA-NA,NA,0-372,1
MK579994,NA-NA,NA,NA-NA,NA,0-384,1
MK579993,NA-NA,NA,NA-NA,NA,0-384,1
MK579992,NA-NA,NA,NA-NA,NA,0-381,1
MK579991,NA-NA,NA,NA-NA,NA,0-384,1
MK579990,NA-NA,NA,NA-NA,NA,0-381,1
MK579989,NA-NA,NA,NA-NA,NA,0-381,1
MK579988,NA-NA,NA,NA-NA,NA,0-384,1
MK579987,NA-NA,NA,NA-NA,NA,0-381,1
MK579986,NA-NA,NA,NA-NA,NA,0-381,1
MK579985,NA-NA,NA,NA-NA,NA,0-381,1
MK579984,NA-NA,NA,NA-NA,NA,0-384,1
MK579983,NA-NA,NA,NA-NA,NA,0-384,1
MK579982,NA-NA,NA,NA-NA,NA,0-384,1
MK579981,NA-NA,NA,NA-NA,NA,0-381,1
MK579980,NA-NA,NA,NA-NA,NA,0-384,1
MK579979,NA-NA,NA,NA-NA,NA,0-384,1
MK579978,NA-NA,NA,NA-NA,NA,0-381,1
NC_040647,NA-NA,NA,NA-NA,NA,NA-NA,NA
MK509015,NA-NA,NA,NA-NA,NA,2-564,1
MK509014,NA-NA,NA,NA-NA,NA,2-508,1
MK518375,NA-NA,NA,NA-NA,NA,0-545,1
MK518374,NA-NA,NA,NA-NA,NA,0-468,1
MK507572,NA-NA,NA,2-294,1,NA-NA,NA
MK507571,NA-NA,NA,2-294,1,NA-NA,NA
MK507570,NA-NA,NA,2-294,1,NA-NA,NA
MK507569,NA-NA,NA,2-294,1,NA-NA,NA
MK507568,NA-NA,NA,2-294,1,NA-NA,NA
MK507567,NA-NA,NA,2-294,1,NA-NA,NA
MK507566,NA-NA,NA,2-294,1,NA-NA,NA
MK507565,NA-NA,NA,2-294,1,NA-NA,NA
MK507564,NA-NA,NA,2-294,1,NA-NA,NA
MK507563,NA-NA,NA,2-294,1,NA-NA,NA
MH686400,NA-NA,NA,NA-NA,NA,2-726,1
MH686399,NA-NA,NA,NA-NA,NA,2-726,1
MH686398,NA-NA,NA,NA-NA,NA,2-726,1
MH686397,NA-NA,NA,NA-NA,NA,2-712,1
MH686396,NA-NA,NA,NA-NA,NA,0-745,1
MH686395,NA-NA,NA,NA-NA,NA,1-746,1
MH686394,NA-NA,NA,NA-NA,NA,1-751,1
MH686393,NA-NA,NA,NA-NA,NA,1-809,1
MH686392,NA-NA,NA,NA-NA,NA,1-811,1
MH686391,NA-NA,NA,NA-NA,NA,1-810,1
MH686390,NA-NA,NA,NA-NA,NA,0-809,1
MH730127,NA-NA,NA,0-419,1,NA-NA,NA
MH730126,NA-NA,NA,0-419,1,NA-NA,NA
MH730125,NA-NA,NA,0-419,1,NA-NA,NA
MH730124,NA-NA,NA,0-419,1,NA-NA,NA
MH730123,NA-NA,NA,0-419,1,NA-NA,NA
MG788774,NA-NA,NA,0-285,1,NA-NA,NA
MG788773,NA-NA,NA,0-285,1,NA-NA,NA
MG788772,NA-NA,NA,0-285,1,NA-NA,NA
MG788771,NA-NA,NA,0-264,1,NA-NA,NA
MG788770,NA-NA,NA,0-336,1,NA-NA,NA
MG788769,NA-NA,NA,0-360,1,NA-NA,NA
MG788768,NA-NA,NA,0-360,1,NA-NA,NA
MG788767,NA-NA,NA,0-360,1,NA-NA,NA
MG788759,NA-NA,NA,0-333,1,NA-NA,NA
MG788758,NA-NA,NA,0-333,1,NA-NA,NA
MG788757,NA-NA,NA,0-333,1,NA-NA,NA
MG921619,83-2885,1,2824-4372,1,4184-6716,1
MK460231,21-2667,1,2600-4112,1,4104-6570,1
MK460230,47-2522,1,2473-3985,1,3809-6323,1
MK802138,NA-NA,NA,0-375,1,NA-NA,NA
MK802137,NA-NA,NA,1-349,1,NA-NA,NA
MK802136,NA-NA,NA,0-404,1,NA-NA,NA
MK802135,NA-NA,NA,0-362,1,NA-NA,NA
MK802134,NA-NA,NA,0-406,1,NA-NA,NA
MK802133,NA-NA,NA,0-395,1,NA-NA,NA
MK802132,NA-NA,NA,0-381,1,NA-NA,NA
MK802131,NA-NA,NA,0-367,1,NA-NA,NA
MK802130,NA-NA,NA,0-406,1,NA-NA,NA
MK802129,NA-NA,NA,0-382,1,NA-NA,NA
MH332781,73-2836,1,2775-4323,1,4315-5304,1
MG932612,72-2853,1,2792-4340,1,4332-4958,1
MG932587,72-1866,1,3332-4340,1,4332-5309,1
KY294673,72-1860,1,3332-4340,1,4332-5306,1
KY294672,0-1140,1,NA-NA,NA,NA-NA,NA
KY294664,NA-NA,NA,0-1008,1,1000-1974,1
KY294663,NA-NA,NA,NA-NA,NA,0-761,1
MG932618,1-944,1,NA-NA,NA,NA-NA,NA
MG932617,1-944,1,NA-NA,NA,NA-NA,NA
MG932616,1-945,1,NA-NA,NA,NA-NA,NA
MG932615,1-946,1,NA-NA,NA,NA-NA,NA
MG932614,2-695,1,NA-NA,NA,NA-NA,NA
MG932613,1-946,1,NA-NA,NA,NA-NA,NA
MG932611,1-944,1,NA-NA,NA,NA-NA,NA
MG932610,1-944,1,NA-NA,NA,NA-NA,NA
MG932609,2-289,1,NA-NA,NA,NA-NA,NA
MG932608,2-693,1,NA-NA,NA,NA-NA,NA
MG932607,2-693,1,NA-NA,NA,NA-NA,NA
MG932591,NA-NA,NA,2-197,1,189-841,1
MG932590,NA-NA,NA,2-197,1,189-839,1
MG932589,NA-NA,NA,1-196,1,188-824,1
MG932588,NA-NA,NA,2-197,1,189-839,1
MG932586,NA-NA,NA,NA-NA,NA,0-410,1
MG932585,NA-NA,NA,2-197,1,189-818,1
MG932584,NA-NA,NA,NA-NA,NA,0-410,1
MG932583,NA-NA,NA,2-197,1,189-839,1
MG932582,NA-NA,NA,2-197,1,189-839,1
MG932581,NA-NA,NA,NA-NA,NA,0-410,1
MG932580,NA-NA,NA,2-197,1,189-815,1
MG932579,NA-NA,NA,NA-NA,NA,0-410,1
MG932578,NA-NA,NA,NA-NA,NA,0-386,1
MG932577,NA-NA,NA,0-195,1,187-789,1
MH414525,NA-NA,NA,0-404,1,NA-NA,NA
MH414524,NA-NA,NA,0-404,1,NA-NA,NA
MH414523,NA-NA,NA,0-404,1,NA-NA,NA
MH414522,NA-NA,NA,2-403,1,NA-NA,NA
MH414521,NA-NA,NA,2-403,1,NA-NA,NA
MH414520,NA-NA,NA,2-403,1,NA-NA,NA
MH414519,NA-NA,NA,2-403,1,NA-NA,NA
MK386569,51-2637,1,2587-4163,1,4155-6427,1
MN036279,NA-NA,NA,0-1022,-1,NA-NA,NA
MN036159,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN036131,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN035893,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN035838,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN035814,NA-NA,NA,255-1053,-1,NA-NA,NA
MN035758,NA-NA,NA,1894-3460,1,NA-NA,NA
MN035574,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN035429,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN035369,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN034849,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN034752,NA-NA,NA,0-1385,-1,NA-NA,NA
MN034438,NA-NA,NA,0-853,-1,NA-NA,NA
MN034422,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN034411,NA-NA,NA,2629-5707,1,NA-NA,NA
MN034197,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN034082,NA-NA,NA,2288-6143,1,NA-NA,NA
MN033929,NA-NA,NA,1189-4297,1,NA-NA,NA
MN033907,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN033872,NA-NA,NA,838-8044,1,NA-NA,NA
MN033591,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN033479,NA-NA,NA,480-1623,-1,NA-NA,NA
MN033410,NA-NA,NA,234-1103,1,NA-NA,NA
MN033274,NA-NA,NA,2212-3382,1,NA-NA,NA
MN033177,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN033141,NA-NA,NA,NA-NA,NA,NA-NA,NA
MN033120,NA-NA,NA,1367-2270,1,NA-NA,NA
MN032977,NA-NA,NA,NA-NA,NA,NA-NA,NA
KT886453,1-3427,1,3408-4968,1,4992-7155,1
NC_043416,NA-NA,NA,2-356,1,168-2673,1
NC_043103,NA-NA,NA,0-1569,1,1568-4106,1
NC_043102,0-909,1,878-2450,1,2433-4986,1
NC_043101,NA-NA,NA,0-825,1,745-2869,1
NC_043100,NA-NA,NA,0-1413,1,1415-3578,1
NC_043099,NA-NA,NA,0-753,1,767-2984,1
NC_043098,NA-NA,NA,0-1641,1,1630-3913,1
NC_043097,NA-NA,NA,1-829,1,722-3065,1
NC_043096,NA-NA,NA,1-1420,1,1412-3893,1
MK378592,NA-NA,NA,0-291,1,283-737,1
MK378591,0-1074,1,1061-1807,1,NA-NA,NA
MK378590,NA-NA,NA,0-252,1,244-1050,1
MK378589,0-909,1,860-1006,1,NA-NA,NA
MK378588,NA-NA,NA,0-1443,1,NA-NA,NA
MK378587,0-887,1,NA-NA,NA,NA-NA,NA
MK378586,NA-NA,NA,0-351,1,343-990,1
MK378585,NA-NA,NA,0-312,1,304-1239,1
MK378584,0-642,1,NA-NA,NA,NA-NA,NA
MK378583,24-1756,1,NA-NA,NA,NA-NA,NA
MK378582,40-2515,1,2466-3978,1,3970-4172,1
MK378581,0-1223,1,NA-NA,NA,NA-NA,NA
MK378580,0-2148,1,2135-3593,1,3585-3896,1
MK378579,NA-NA,NA,0-539,1,NA-NA,NA
MK378578,0-69,1,20-592,1,NA-NA,NA
MK378577,NA-NA,NA,0-1116,1,NA-NA,NA
MK378576,0-1224,1,NA-NA,NA,NA-NA,NA
MK378575,0-729,1,NA-NA,NA,NA-NA,NA
MK378574,NA-NA,NA,0-1434,1,1426-1927,1
MK378573,0-947,1,NA-NA,NA,NA-NA,NA
MK378572,NA-NA,NA,0-1084,1,NA-NA,NA
MK378571,NA-NA,NA,NA-NA,NA,0-413,1
MK378570,0-605,1,NA-NA,NA,NA-NA,NA
MK378569,NA-NA,NA,0-1428,1,1411-1570,1
MK378568,0-858,1,845-1458,1,NA-NA,NA
MK378567,0-992,1,NA-NA,NA,NA-NA,NA
MK378566,0-1188,1,NA-NA,NA,NA-NA,NA
MK378565,NA-NA,NA,NA-NA,NA,0-1671,1
MK378564,NA-NA,NA,0-1434,1,1426-1839,1
MK378563,0-1059,1,1046-1305,1,NA-NA,NA
MK378562,NA-NA,NA,0-794,1,NA-NA,NA
MK378561,16-1479,1,NA-NA,NA,NA-NA,NA
MK378560,NA-NA,NA,NA-NA,NA,0-822,1
MK378559,106-2656,1,2643-4101,1,4093-4192,1
MK378558,37-1842,1,NA-NA,NA,NA-NA,NA
MK378557,NA-NA,NA,0-918,1,NA-NA,NA
MK378556,70-2259,1,NA-NA,NA,NA-NA,NA
MK378555,0-2568,1,2525-4064,1,4047-5108,1
MK378554,NA-NA,NA,0-918,1,NA-NA,NA
MK378553,NA-NA,NA,NA-NA,NA,0-1077,1
MK378552,18-2493,1,2444-3370,1,NA-NA,NA
MK378551,NA-NA,NA,0-1536,1,1528-2229,1
MK378550,0-1173,1,1124-2365,1,NA-NA,NA
MK378549,30-2028,1,NA-NA,NA,NA-NA,NA
MK378548,89-2639,1,2626-4084,1,4076-4313,1
MK378547,NA-NA,NA,0-899,1,NA-NA,NA
MK378546,NA-NA,NA,0-899,1,NA-NA,NA
MK378545,NA-NA,NA,NA-NA,NA,0-879,1
MK378544,NA-NA,NA,0-749,1,NA-NA,NA
MK378543,NA-NA,NA,0-588,1,571-708,1
MK378542,NA-NA,NA,0-1257,1,1249-2124,1
MK378541,0-2103,1,NA-NA,NA,NA-NA,NA
MK378540,0-2322,1,2279-3794,1,3777-5417,1
MK378539,89-2639,1,2626-4084,1,4076-4603,1
MK378538,0-489,1,440-1952,1,1944-2163,1
MK378537,0-1335,1,1322-2780,1,2772-4056,1
MK378536,0-1746,1,1733-3191,1,3183-5124,1
MK378535,NA-NA,NA,0-1416,1,1408-1810,1
MK378534,0-1572,1,NA-NA,NA,NA-NA,NA
MK378533,NA-NA,NA,NA-NA,NA,0-626,1
MK378532,NA-NA,NA,0-744,1,736-2676,1
MK378531,NA-NA,NA,0-492,1,NA-NA,NA
MK378530,NA-NA,NA,0-1179,1,1171-3505,1
MK378529,NA-NA,NA,0-560,1,NA-NA,NA
MK378528,0-105,1,56-1568,1,NA-NA,NA
MK378527,0-702,1,689-822,1,NA-NA,NA
MK378526,0-1236,1,1223-1522,1,NA-NA,NA
MK378525,0-1046,1,NA-NA,NA,NA-NA,NA
MK378524,0-1935,1,NA-NA,NA,NA-NA,NA
MK378523,0-729,1,NA-NA,NA,NA-NA,NA
MK378522,0-2367,1,2324-3815,1,3798-4785,1
MK378521,47-2522,1,2473-3985,1,3977-6137,1
MK378520,74-2624,1,2611-2922,1,NA-NA,NA
MK378519,0-1511,1,NA-NA,NA,NA-NA,NA
MK378518,NA-NA,NA,NA-NA,NA,0-1046,1
MK378517,NA-NA,NA,NA-NA,NA,0-1601,1
MK378516,0-1962,1,1919-3434,1,3417-4205,1
MK378515,0-1936,1,NA-NA,NA,NA-NA,NA
MK378514,89-1654,1,NA-NA,NA,NA-NA,NA
MK378513,0-1511,1,NA-NA,NA,NA-NA,NA
MK378512,NA-NA,NA,0-111,1,103-1618,1
MK378511,NA-NA,NA,0-183,1,175-1367,1
MK378510,0-75,1,62-878,1,NA-NA,NA
MK378509,0-776,1,NA-NA,NA,NA-NA,NA
MK378508,0-1116,1,1103-2500,1,NA-NA,NA
MK378507,0-681,1,NA-NA,NA,NA-NA,NA
MK378506,0-1894,1,NA-NA,NA,NA-NA,NA
MK378505,35-2510,1,2461-3973,1,3965-5299,1
MK378504,NA-NA,NA,0-574,1,NA-NA,NA
MK378503,0-150,1,107-811,1,NA-NA,NA
MK378502,0-2298,1,2285-3636,1,NA-NA,NA
MK378501,NA-NA,NA,0-1301,1,NA-NA,NA
MK378500,NA-NA,NA,0-864,1,856-1776,1
MK378499,0-858,1,NA-NA,NA,NA-NA,NA
MK378498,0-2550,1,2507-4022,1,4005-6207,1
MK378497,NA-NA,NA,0-300,1,292-601,1
MK378496,NA-NA,NA,0-584,1,NA-NA,NA
MK378495,0-596,1,NA-NA,NA,NA-NA,NA
MK378494,NA-NA,NA,0-312,1,304-801,1
MK378493,0-965,1,NA-NA,NA,NA-NA,NA
MK378492,NA-NA,NA,0-667,1,NA-NA,NA
MK378491,NA-NA,NA,0-903,1,NA-NA,NA
MK378490,NA-NA,NA,0-177,1,169-603,1
MK378489,NA-NA,NA,0-1155,1,NA-NA,NA
MK378488,NA-NA,NA,0-569,1,NA-NA,NA
MK378487,NA-NA,NA,0-1389,1,1381-1830,1
MK378486,NA-NA,NA,0-641,1,NA-NA,NA
MK378485,NA-NA,NA,0-760,1,NA-NA,NA
MK378484,0-990,1,NA-NA,NA,NA-NA,NA
MK378483,NA-NA,NA,0-785,1,NA-NA,NA
MK378482,0-677,1,NA-NA,NA,NA-NA,NA
MK378481,32-638,1,NA-NA,NA,NA-NA,NA
MK378480,NA-NA,NA,0-465,1,457-940,1
MK378479,NA-NA,NA,0-879,1,871-3178,1
MK378478,0-771,1,758-925,1,NA-NA,NA
MK378477,0-962,1,NA-NA,NA,NA-NA,NA
MK378476,0-839,1,NA-NA,NA,NA-NA,NA
MK378475,103-2662,1,2649-4110,1,4102-6609,1
MK378474,47-2522,1,2473-3985,1,3929-5632,1
MK378473,91-1952,1,NA-NA,NA,NA-NA,NA
MK378472,NA-NA,NA,0-513,1,NA-NA,NA
MK378471,NA-NA,NA,0-465,1,NA-NA,NA
MK378470,0-1334,1,NA-NA,NA,NA-NA,NA
MK378469,0-261,1,194-1386,1,NA-NA,NA
MK378468,0-1300,1,NA-NA,NA,NA-NA,NA
MK378467,69-689,1,NA-NA,NA,NA-NA,NA
MK378466,0-1022,1,NA-NA,NA,NA-NA,NA
MK378465,0-102,1,35-1028,1,NA-NA,NA
MK378464,0-491,1,NA-NA,NA,NA-NA,NA
MK378463,0-576,1,527-1392,1,NA-NA,NA
MK378462,NA-NA,NA,0-852,1,NA-NA,NA
MK378461,0-810,1,NA-NA,NA,NA-NA,NA
MK378460,0-611,1,NA-NA,NA,NA-NA,NA
MK378459,NA-NA,NA,NA-NA,NA,0-945,1
MK378458,NA-NA,NA,0-312,1,304-395,1
MK378457,NA-NA,NA,0-424,1,NA-NA,NA
MK378456,NA-NA,NA,0-733,1,NA-NA,NA
MK378455,NA-NA,NA,0-725,1,NA-NA,NA
MK378454,NA-NA,NA,0-512,1,NA-NA,NA
MK378453,NA-NA,NA,0-413,1,NA-NA,NA
MK378452,NA-NA,NA,NA-NA,NA,0-520,1
MK378451,NA-NA,NA,0-572,1,NA-NA,NA
MK378450,0-273,1,224-466,1,NA-NA,NA
MK378449,NA-NA,NA,0-722,1,NA-NA,NA
MK378448,0-433,1,NA-NA,NA,NA-NA,NA
MK378447,NA-NA,NA,0-670,1,NA-NA,NA
MK378446,NA-NA,NA,0-261,1,253-669,1
MK378445,0-408,1,344-974,1,NA-NA,NA
MK378444,0-658,1,NA-NA,NA,NA-NA,NA
MK378443,NA-NA,NA,0-725,1,NA-NA,NA
MK378442,NA-NA,NA,NA-NA,NA,0-489,1
MK378441,0-543,1,494-904,1,NA-NA,NA
MK378440,0-983,1,NA-NA,NA,NA-NA,NA
MH424428,NA-NA,NA,NA-NA,NA,0-2564,1
MH424433,NA-NA,NA,0-422,1,NA-NA,NA
MH424432,NA-NA,NA,0-422,1,NA-NA,NA
MH424431,NA-NA,NA,0-422,1,NA-NA,NA
MH424430,NA-NA,NA,0-423,1,NA-NA,NA
MH424429,NA-NA,NA,0-422,1,NA-NA,NA
MK387179,NA-NA,NA,NA-NA,NA,NA-NA,NA
MK387178,NA-NA,NA,NA-NA,NA,NA-NA,NA
MK387177,NA-NA,NA,NA-NA,NA,NA-NA,NA
MK387176,NA-NA,NA,NA-NA,NA,3666-5718,1
MK388725,NA-NA,NA,1-511,1,NA-NA,NA
MK618656,0-1824,1,1763-3311,1,3303-5584,1
MK108183,NA-NA,NA,1-451,1,443-1071,1
MK108182,1-944,1,NA-NA,NA,NA-NA,NA
NC_038368,NA-NA,NA,NA-NA,NA,0-2403,1
MH576462,NA-NA,NA,1-343,1,NA-NA,NA
MH576461,NA-NA,NA,1-343,1,NA-NA,NA
MH576460,NA-NA,NA,1-343,1,NA-NA,NA
MH576459,NA-NA,NA,1-337,1,NA-NA,NA
MH576458,NA-NA,NA,1-339,1,NA-NA,NA
MH576457,NA-NA,NA,0-335,1,NA-NA,NA
MH576456,NA-NA,NA,1-339,1,NA-NA,NA
MH576455,NA-NA,NA,1-336,1,NA-NA,NA
MH576454,NA-NA,NA,1-343,1,NA-NA,NA
MH576453,NA-NA,NA,1-284,1,NA-NA,NA
MH576452,NA-NA,NA,1-343,1,NA-NA,NA
MH576451,NA-NA,NA,1-343,1,NA-NA,NA
MH576450,NA-NA,NA,0-243,1,NA-NA,NA
MH576449,NA-NA,NA,0-243,1,NA-NA,NA
MH576448,NA-NA,NA,0-243,1,NA-NA,NA
MH576447,NA-NA,NA,0-243,1,NA-NA,NA
MH576446,NA-NA,NA,1-234,1,NA-NA,NA
MH576445,NA-NA,NA,0-243,1,NA-NA,NA
MH576444,NA-NA,NA,0-243,1,NA-NA,NA
MH576443,NA-NA,NA,0-243,1,NA-NA,NA
MH576442,NA-NA,NA,0-243,1,NA-NA,NA
MH576441,NA-NA,NA,0-243,1,NA-NA,NA
MH576440,NA-NA,NA,0-243,1,NA-NA,NA
MH576439,NA-NA,NA,2-242,1,NA-NA,NA
MH576438,NA-NA,NA,0-243,1,NA-NA,NA
MH576437,NA-NA,NA,0-240,1,NA-NA,NA
MH576436,NA-NA,NA,0-243,1,NA-NA,NA
MH576435,NA-NA,NA,0-243,1,NA-NA,NA
MH576434,NA-NA,NA,0-243,1,NA-NA,NA
MH576433,NA-NA,NA,0-243,1,NA-NA,NA
MH576432,NA-NA,NA,0-237,1,NA-NA,NA
MH576431,NA-NA,NA,0-243,1,NA-NA,NA
MK125058,10-3265,1,3255-4806,1,4824-6939,1
MK091955,NA-NA,NA,0-429,1,NA-NA,NA
MK091954,NA-NA,NA,0-429,1,NA-NA,NA
MK091953,NA-NA,NA,0-429,1,NA-NA,NA
MK091952,NA-NA,NA,0-429,1,NA-NA,NA
MK091951,NA-NA,NA,0-429,1,NA-NA,NA
MK091950,NA-NA,NA,0-429,1,NA-NA,NA
MK041038,NA-NA,NA,NA-NA,NA,0-419,1
MK041037,NA-NA,NA,NA-NA,NA,0-411,1
MK041036,NA-NA,NA,NA-NA,NA,2-416,1
