Accession	LOCUS	Version	GenBank title	Release date	Organism name	Virus Lineage	Species	Family	Length	Reference_title	Submitters	PUBMED_ID	Strain	Isolate	Geo location	Country	Collection date	Tissue/Specimen/Source	Host	Environmental	CDS count	Artificial	UNVERIFIED	1A	1A-strand	1B	1B-strand	2	2-strand	host_clean	Host_species	Host_genus	Host_family	Host_order	Host_class	Host_phylum	Host_kingdom	Species_ICTV	virus_name
KY009256	KY009256	KY009256.1	Rat astrovirus isolate GZYX-98 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-98	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009255	KY009255	KY009255.1	Rat astrovirus isolate GZYX-99 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	294	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-99	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-294	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009254	KY009254	KY009254.1	Rat astrovirus isolate GZYX-93 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	190	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-93	China		28-Oct-2015		Rattus tanezumi	No	1	No	No	NA-NA		1-190	1.0	NA-NA		Rattus tanezumi	Rattus tanezumi	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009253	KY009253	KY009253.1	Rat astrovirus isolate GZYX-94 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-94	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009252	KY009252	KY009252.1	Rat astrovirus isolate GZYX-96 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-96	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009251	KY009251	KY009251.1	Rat astrovirus isolate GZYX-97 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-97	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009250	KY009250	KY009250.1	Rat astrovirus isolate GZYX-87 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	254	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-87	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-254	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009249	KY009249	KY009249.1	Rat astrovirus isolate GZYX-88 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	254	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-88	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-254	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009248	KY009248	KY009248.1	Rat astrovirus isolate GZYX-90 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	254	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-90	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-254	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009247	KY009247	KY009247.1	Rat astrovirus isolate GZYX-91 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	254	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-91	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-254	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009246	KY009246	KY009246.1	Rat astrovirus isolate GZYX-70 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-70	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009245	KY009245	KY009245.1	Rat astrovirus isolate GZYX-71 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	337	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-71	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-337	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009244	KY009244	KY009244.1	Rat astrovirus isolate GZYX-76 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	287	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-76	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-287	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009243	KY009243	KY009243.1	Rat astrovirus isolate GZYX-82 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-82	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009242	KY009242	KY009242.1	Rat astrovirus isolate GZYX-63 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	221	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-63	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-221	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009241	KY009241	KY009241.1	Rat astrovirus isolate GZYX-64 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	221	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-64	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-221	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009240	KY009240	KY009240.1	Rat astrovirus isolate GZYX-67 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	337	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-67	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-337	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009239	KY009239	KY009239.1	Rat astrovirus isolate GZYX-68 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-68	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009238	KY009238	KY009238.1	Rat astrovirus isolate GZYX-62 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	221	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-62	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-221	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009237	KY009237	KY009237.1	Rat astrovirus isolate GZYX-122 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	278	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-122	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-278	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009236	KY009236	KY009236.1	Rat astrovirus isolate GZYX-123 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-123	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009235	KY009235	KY009235.1	Rat astrovirus isolate GZYX-125 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-125	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009234	KY009234	KY009234.1	Rat astrovirus isolate GZYX-115 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	278	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-115	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-278	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009233	KY009233	KY009233.1	Rat astrovirus isolate GZYX-119 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-119	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009232	KY009232	KY009232.1	Rat astrovirus isolate GZYX-120 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	278	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-120	China		28-Oct-2015		Rattus tanezumi	No	1	No	No	NA-NA		0-278	1.0	NA-NA		Rattus tanezumi	Rattus tanezumi	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009231	KY009231	KY009231.1	Rat astrovirus isolate GZYX-121 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-121	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009230	KY009230	KY009230.1	Rat astrovirus isolate GZYX-107 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-107	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009229	KY009229	KY009229.1	Rat astrovirus isolate GZYX-109 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-109	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009228	KY009228	KY009228.1	Rat astrovirus isolate GZYX-113 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	282	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-113	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-282	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009227	KY009227	KY009227.1	Rat astrovirus isolate GZYX-114 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-114	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009226	KY009226	KY009226.1	Rat astrovirus isolate GZYX-100 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	287	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-100	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-287	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009225	KY009225	KY009225.1	Rat astrovirus isolate GZYX-101 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-101	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009224	KY009224	KY009224.1	Rat astrovirus isolate GZYX-102 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	243	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-102	China		28-Oct-2015		Rattus norvegicus	No	1	No	No	NA-NA		0-243	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009223	KY009223	KY009223.1	House shrew astrovirus isolate GZYX-103 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	House shrew astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	294	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZYX-103	China		28-Oct-2015		Suncus murinus	No	1	No	No	NA-NA		0-294	1.0	NA-NA		Suncus murinus	Suncus murinus	Suncus	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa	NA	NA
KY009222	KY009222	KY009222.1	Rat astrovirus isolate GZBY-90 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-90	China		10-Oct-2014		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009221	KY009221	KY009221.1	Rat astrovirus isolate GZBY-60 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-60	China		10-Oct-2014		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009220	KY009220	KY009220.1	House shrew astrovirus isolate GZBY-62 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	House shrew astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-62	China		10-Oct-2014		Suncus murinus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Suncus murinus	Suncus murinus	Suncus	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa	NA	NA
KY009219	KY009219	KY009219.1	Rat astrovirus isolate GZBY-89 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-89	China		10-Oct-2014		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009218	KY009218	KY009218.1	Rat astrovirus isolate GZBY-532 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	331	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-532	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-331	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009217	KY009217	KY009217.1	Rat astrovirus isolate GZBY-533 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-533	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009216	KY009216	KY009216.1	Rat astrovirus isolate GZBY-536 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	307	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-536	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-307	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009215	KY009215	KY009215.1	Rat astrovirus isolate GZBY-537 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	319	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-537	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-319	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009214	KY009214	KY009214.1	Rat astrovirus isolate GZBY-521 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-521	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009213	KY009213	KY009213.1	Rat astrovirus isolate GZBY-522 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-522	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009212	KY009212	KY009212.1	Rat astrovirus isolate GZBY-526 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	338	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-526	China		10-Apr-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009211	KY009211	KY009211.1	Rat astrovirus isolate GZBY-53 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	345	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-53	China		10-Oct-2014		Rattus norvegicus	No	1	No	No	NA-NA		0-345	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
KY009210	KY009210	KY009210.1	Rat astrovirus isolate GZBY-513 RNA dependent RNA polymerase gene, partial cds	04-OCT-2017	Rat astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	336	Detection of Astroviruses from rat and house shrew feces from southern China	Qiu,M. and Zheng,X.			GZBY-513	China		10-Mar-2016		Rattus norvegicus	No	1	No	No	NA-NA		0-336	1.0	NA-NA		Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa	NA	NA
