,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count
OR951048,OR951048.1,MAG: Bat astrovirus isolate GD2017_210_6054 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4347,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_210_6054,China,NA,2017,swab,Myotis pilosus,Yes,0
OR951047,OR951047.1,MAG: Bat astrovirus isolate GD2017_208_34648 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4770,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_208_34648,China,NA,2017,swab,Myotis pilosus,Yes,0
OR951046,OR951046.1,"MAG: Bat astrovirus isolate GD2017_208_23344 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1372,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_208_23344,China,NA,2017,swab,Myotis pilosus,Yes,1
OR951045,OR951045.1,MAG: Bat astrovirus isolate GD2017_207_27658 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,5500,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_207_27658,China,NA,2017,swab,Myotis pilosus,Yes,0
OR951044,OR951044.1,MAG: Bat astrovirus isolate GD2017_207_17582 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1846,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_207_17582,China,NA,2017,swab,Myotis pilosus,Yes,0
OR951043,OR951043.1,MAG: Bat astrovirus isolate HI2019 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1866,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HI2019,China,NA,2019,swab,Hipposideros larvatus,Yes,0
OR951042,OR951042.1,MAG: Bat astrovirus isolate GX2017_200_126536 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4267,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_200_126536,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951041,OR951041.1,MAG: Bat astrovirus isolate GX2017_200_44502 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4205,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_200_44502,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951040,OR951040.1,MAG: Bat astrovirus isolate GX2017_200_24737 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4756,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_200_24737,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951039,OR951039.1,"MAG: Bat astrovirus isolate GX2017_200_6417 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1278,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_200_6417,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951038,OR951038.1,MAG: Bat astrovirus isolate GX2017_199_2788 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4079,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_199_2788,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951037,OR951037.1,"MAG: Bat astrovirus isolate GX2017 polyprotein 1a gene, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2451,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017,China,NA,2017,swab,Hipposideros larvatus,Yes,1
OR951036,OR951036.1,MAG: Bat astrovirus isolate GD2018_193_3704 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6658,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2018_193_3704,China,NA,2018,swab,Hipposideros larvatus,Yes,0
OR951035,OR951035.1,MAG: Bat astrovirus isolate GD2018_192_546203 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3706,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2018_192_546203,China,NA,2018,swab,Hipposideros larvatus,Yes,0
OR951034,OR951034.1,MAG: Bat astrovirus isolate GD2017_191_26815 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,5439,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_191_26815,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951033,OR951033.1,MAG: Bat astrovirus isolate GD2017_191_4128 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3274,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_191_4128,China,NA,2017,swab,Hipposideros larvatus,Yes,0
OR951032,OR951032.1,MAG: Bat astrovirus isolate GD2016_189_30487 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6542,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_189_30487,China,NA,2016,swab,Hipposideros larvatus,Yes,0
OR951031,OR951031.1,"MAG: Bat astrovirus isolate GD2016_189_24597 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1081,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_189_24597,China,NA,2016,swab,Hipposideros larvatus,Yes,0
OR951030,OR951030.1,MAG: Bat astrovirus isolate GD2016_189_12430 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,5996,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_189_12430,China,NA,2016,swab,Hipposideros larvatus,Yes,0
OR951029,OR951029.1,MAG: Bat astrovirus isolate GD2016_188_81480 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1961,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_188_81480,China,NA,2016,swab,Hipposideros larvatus,Yes,0
OR951028,OR951028.1,MAG: Bat astrovirus isolate GD2016_187_7946 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4255,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_187_7946,China,NA,2016,swab,Hipposideros larvatus,Yes,0
OR951027,OR951027.1,MAG: Bat astrovirus isolate GX2017_186_13431 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6595,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_186_13431,China,NA,2017,swab,Scotophilus kuhlii,Yes,0
OR951026,OR951026.1,MAG: Bat astrovirus isolate GX2017_185_6114 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6699,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_185_6114,China,NA,2017,swab,Scotophilus kuhlii,Yes,0
OR951025,OR951025.1,MAG: Bat astrovirus isolate GD2018_176_158949 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6699,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2018_176_158949,China,NA,2018,swab,Scotophilus kuhlii,Yes,0
OR951024,OR951024.1,MAG: Bat astrovirus isolate GD2017_173_19604 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2168,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_173_19604,China,NA,2017,swab,Scotophilus kuhlii,Yes,0
OR951023,OR951023.1,MAG: Bat astrovirus isolate GX2019_147_245 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6011,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2019_147_245,China,NA,2019,swab,Tylonycteris pachypus,Yes,0
OR951022,OR951022.1,MAG: Bat astrovirus isolate GX2019_146_20395 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6384,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2019_146_20395,China,NA,2019,swab,Tylonycteris pachypus,Yes,0
OR951021,OR951021.1,MAG: Bat astrovirus isolate GX2019_145_83144 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6657,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2019_145_83144,China,NA,2019,swab,Tylonycteris pachypus,Yes,0
OR951020,OR951020.1,"MAG: Bat astrovirus isolate GD2020 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1414,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2020,China,NA,2020,swab,Rhinolophus affinis,Yes,0
OR951019,OR951019.1,"MAG: Bat astrovirus isolate HI2019 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,845,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HI2019,China,NA,2019,swab,Rhinolophus affinis,Yes,1
OR951018,OR951018.1,"MAG: Bat astrovirus isolate GD2017 polyprotein 1b and capsid protein precursor, genes, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1236,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017,China,NA,2017,swab,Rhinolophus sinicus,Yes,2
OR951017,OR951017.1,MAG: Bat astrovirus isolate Pool-073 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3174,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,Pool-073,China,NA,2020,swab,Chiroptera sp.,Yes,0
OR951016,OR951016.1,MAG: Bat astrovirus isolate YN2020_064_655 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,5820,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_064_655,China,NA,2020,swab,Myotis chinensis,Yes,0
OR951015,OR951015.1,"MAG: Bat astrovirus isolate YN2020_057_2377 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1744,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_057_2377,China,NA,2020,swab,Rhinolophus affinis,Yes,0
OR951014,OR951014.1,MAG: Bat astrovirus isolate YN2020_057_2262 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3491,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_057_2262,China,NA,2020,swab,Rhinolophus affinis,Yes,0
OR951013,OR951013.1,MAG: Bat astrovirus isolate YN2020_057_1262 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2249,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_057_1262,China,NA,2020,swab,Rhinolophus affinis,Yes,0
OR951012,OR951012.1,"MAG: Bat astrovirus isolate HI2018 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1395,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HI2018,China,NA,2018,swab,Hipposideros pomona,Yes,0
OR951011,OR951011.1,"MAG: Bat astrovirus isolate GX2018 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1302,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2018,China,NA,2018,swab,Scotophilus kuhlii,Yes,1
OR951010,OR951010.1,MAG: Bat astrovirus isolate GX2018 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3387,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2018,China,NA,2018,swab,Scotophilus kuhlii,Yes,0
OR951009,OR951009.1,"MAG: Bat astrovirus isolate SC2018_011_212065 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,707,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,SC2018_011_212065,China,NA,2018,swab,Miniopterus schreibersii,Yes,0
OR951008,OR951008.1,"MAG: Bat astrovirus isolate SC2018_004_504491 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,878,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,SC2018_004_504491,China,NA,2018,swab,Myotis chinensis,Yes,0
OR951007,OR951007.1,"MAG: Bat astrovirus isolate SC2018 polyprotein 1b gene, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2243,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,SC2018,China,NA,2018,swab,Myotis chinensis,Yes,1
PX280286,PX280286.1,"Chicken astrovirus isolate ASN/CAstV/EG/2025 capsid protein-like gene, complete sequence",10-SEP-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,2243,"mahmoud,S.H., Yehia,N. and Khalil,A.A.",NA,ASN/CAstV/EG/2025,Egypt,NA,Jan-2025,NA,Gallus gallus gallus,No,0
PX237220,PX237220.2,"Pigeon astrovirus isolate pigeon/FSU2 capsid protein gene, complete cds",10-SEP-2025,Pigeon astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2025,"Chen,J., Tan,S., Lu,Q. and Wang,X.",NA,pigeon/FSU2,China,NA,04-Jul-2025,NA,pigeon,No,1
PX237222,PX237222.1,"Pigeon astrovirus isolate pigeon/FSU1, complete genome",08-SEP-2025,Pigeon astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6960,"Chen,J., Tan,S., Lu,Q. and Wang,X.",NA,pigeon/FSU1,China,NA,04-Jul-2025,NA,pigeon,No,3
PX237221,PX237221.1,"Pigeon astrovirus isolate pigeon/FSU3 capsid protein gene, complete cds",08-SEP-2025,Pigeon astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2022,"Chen,J., Tan,S., Lu,Q. and Wang,X.",NA,pigeon/FSU3,China,NA,04-Jul-2025,NA,pigeon,No,1
PX148103,PX148103.1,"Mamastrovirus suis isolate PAstV/IND/ICARNEH_SDB3/2024 RNA-dependent RNA polymerase (ORF1b) and capsid protein (ORF2) genes, partial cds",02-SEP-2025,Mamastrovirus suis,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,171,"Milton,A.A.P., Khan,S., Hussain,Z., Tamilarasan,K., Priya,G.B., Srinivas,K., Bhatt,M., Das,S. and Ghatak,S.",NA,PAstV/IND/ICARNEH_SDB3/2024,India: Sikkim,NA,Jun-2024,diarrhoeic feces,pig,No,2
PX132666,PX132666.1,"Mamastrovirus suis isolate PAstV4/IND/ICARNEH_SNB12/2024 RNA-dependent RNA polymerase and capsid genes, partial cds",02-SEP-2025,Mamastrovirus suis,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,767,"Milton,A.A.P., Khan,S., Hussain,Z., Tamilarasan,K., Priya,G.B., Srinivas,K., Bhatt,M., Das,S. and Ghatak,S.",NA,PAstV4/IND/ICARNEH_SNB12/2024,India: Sikkim,NA,Jun-2024,feces,pig,No,2
PX132665,PX132665.1,"Mamastrovirus suis isolate PAstV4/IND/ICARNEH_SDO1/2024 RNA-dependent RNA polymerase and capsid genes, partial cds",02-SEP-2025,Mamastrovirus suis,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,767,"Milton,A.A.P., Khan,S., Hussain,Z., Tamilarasan,K., Priya,G.B., Srinivas,K., Bhatt,M., Das,S. and Ghatak,S.",NA,PAstV4/IND/ICARNEH_SDO1/2024,India: Sikkim,NA,Jun-2024,diarrhoeic feces,pig,No,2
PX132664,PX132664.1,"Mamastrovirus suis isolate PAstV4/IND/ICARNEH_SDB2/2024 RNA-dependent RNA polymerase and capsid genes, partial cds",02-SEP-2025,Mamastrovirus suis,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,749,"Milton,A.A.P., Khan,S., Hussain,Z., Tamilarasan,K., Priya,G.B., Srinivas,K., Bhatt,M., Das,S. and Ghatak,S.",NA,PAstV4/IND/ICARNEH_SDB2/2024,India: Sikkim,NA,Jun-2024,diarrhoeic feces,pig,No,2
PP239060,PP239060.1,"Avastrovirus 2 strain gull/MR04-AAstV/HUN/2014 ORF1b protein gene, partial cds; and ORF2 protein gene, complete cds",01-SEP-2025,Avastrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus galli,Avastrovirus galli,Astroviridae,3448,"Pankovics,P., Boros,A. and Reuter,G.",gull/MR04-AAstV/HUN/2014,NA,Hungary,NA,Jul-2014,fecal sample,Chroicocephalus ridibundus,No,2
PX171445,PX171445.1,"Avastrovirus isolate MC4566 RNA-dependent RNA polymerase (ORF1b) gene, partial cds",30-AUG-2025,Avastrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,147,"Colpani,M., Duarte-Benvenuto,A., Sacristan,C., Galvao Bueno,M., Zamana-Ramblas,R., Codeas,B.S., Navas-Suarez,P., Arias-Lugo,M.A., Morato,R., Morato,R.L., Teixeira,R., Rahal,S. and Catao-Dias,J.L.",NA,MC4566,Brazil,NA,Jul-2023,rectal swab,Leopardus guttulus,No,1
MW826416,MW826416.1,Mamastrovirus sp. isolate XZS01 genomic sequence,27-AUG-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,7066,"Zhu,W., Huang,Y. and Yang,J.",NA,XZS01,China,NA,Apr-2018,feces,rat,No,3
PX146716,PX146716.1,"Chicken astrovirus isolate ASN/CAstV/EG/2025 capsid protein gene, complete cds",25-AUG-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,2254,"Mahmoud,S.H., Khalil,A.A. and Yehia,N.",NA,ASN/CAstV/EG/2025,Egypt,NA,18-Jan-2025,NA,Gallus gallus gallus,No,1
PX095946,PX095946.1,"MAG: Mamastrovirus sp. isolate DL/G.himalayensis/Mav capsid protein precursor, gene, partial cds; nonstructural protein NSP1ab gene, complete cds; and nonstructural protein NSP1a gene, partial cds",18-AUG-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,3691,"Zhou,H., Yang,J., Luo,X. and Xu,J.",NA,DL/G.himalayensis/Mav,China,NA,2023,feces,Gyps himalayensis,Yes,3
PX095874,PX095874.1,"MAG: Astroviridae sp. isolate WL/A.anser/Ast-1 capsid protein gene, complete cds; and RNA-dependent RNA polymerase gene, partial cds",18-AUG-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2893,"Zhou,H., Yang,J., Luo,X. and Xu,J.",NA,WL/A.anser/Ast-1,China,NA,2023,feces,Anser anser,Yes,2
PX095873,PX095873.1,"MAG: Astroviridae sp. isolate WL/A.anser/Ast RNA-dependent RNA polymerase and hypothetical protein genes, partial cds",18-AUG-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1249,"Zhou,H., Yang,J., Luo,X. and Xu,J.",NA,WL/A.anser/Ast,China,NA,2023,feces,Anser anser,Yes,2
